iter	Logloss
0	0.6888024064
1	0.6848018006
2	0.6807891766
3	0.6767411284
4	0.6736193027
5	0.6696276847
6	0.6661184122
7	0.6625472798
8	0.6588870975
9	0.6551453505
10	0.6521187644
11	0.6488601364
12	0.6459091948
13	0.6428071812
14	0.6396115069
15	0.6364559529
16	0.6333191215
17	0.6306350674
18	0.6277645938
19	0.6250370049
20	0.6228257287
21	0.6200675125
22	0.6173706366
23	0.6150243779
24	0.6129407199
25	0.611267693
26	0.6087157105
27	0.6067237576
28	0.6045028163
29	0.6027094718
30	0.6003083903
31	0.5984532496
32	0.5961454033
33	0.5939801053
34	0.5920132622
35	0.5900908998
36	0.5882251037
37	0.5866544243
38	0.5849616715
39	0.5832639139
40	0.5813112667
41	0.5795420042
42	0.5780769324
43	0.576218229
44	0.5744360961
45	0.5728838454
46	0.571512689
47	0.5698818647
48	0.5682257837
49	0.5668733967
50	0.5658356614
51	0.5645115601
52	0.5628660549
53	0.5612490482
54	0.5599898515
55	0.55857315
56	0.5573190626
57	0.5560875646
58	0.5549281154
59	0.5537740815
60	0.5524195348
61	0.5511680346
62	0.5503205212
63	0.5492017099
64	0.5482461306
65	0.5471677704
66	0.5463684037
67	0.545301982
68	0.5442267504
69	0.543336935
70	0.5422448736
71	0.5412280046
72	0.5402758142
73	0.5394321215
74	0.5385385421
75	0.5375987436
76	0.5370042464
77	0.5360643376
78	0.5350562708
79	0.5344916414
80	0.5335106738
81	0.5326697243
82	0.5319245394
83	0.5313034042
84	0.5308424574
85	0.5300888533
86	0.5295199548
87	0.5288934433
88	0.5281806588
89	0.5274355499
90	0.5269205913
91	0.5262115038
92	0.52556145
93	0.5250044272
94	0.5242659973
95	0.5238391138
96	0.5234653625
97	0.5228902731
98	0.5222013167
99	0.5217129073
100	0.5212253039
101	0.5207010391
102	0.5200779564
103	0.5194415317
104	0.5187187185
105	0.5181012364
106	0.5175021851
107	0.5168935379
108	0.516379091
109	0.515708865
110	0.5151189523
111	0.5144179065
112	0.5139093751
113	0.5134815468
114	0.5130542836
115	0.5124461981
116	0.5121005807
117	0.5116022241
118	0.5109084039
119	0.51061202
120	0.5098978977
121	0.509266909
122	0.5088002615
123	0.5081711164
124	0.5076826139
125	0.5072849497
126	0.506974894
127	0.5065457733
128	0.5060565905
129	0.5057040188
130	0.505350237
131	0.5048573666
132	0.5045849941
133	0.5042524897
134	0.5039657317
135	0.5036528883
136	0.5032786199
137	0.5029012853
138	0.5025201027
139	0.5022364993
140	0.5018902868
141	0.5015426128
142	0.5012156446
143	0.5009936383
144	0.5007648268
145	0.5005180006
146	0.5002661015
147	0.5000091758
148	0.4996536648
149	0.4993316589
150	0.4990555141
151	0.4987400727
152	0.4985320432
153	0.4981640997
154	0.4979214142
155	0.4978055875
156	0.4974887318
157	0.4972178566
158	0.4969066442
159	0.4966023838
160	0.4963336813
161	0.4961404612
162	0.4957962909
163	0.4954530163
164	0.4951345372
165	0.4949267227
166	0.4946791406
167	0.4944052698
168	0.4941526921
169	0.4938975944
170	0.4936463998
171	0.4933441805
172	0.4930858812
173	0.4927826476
174	0.4925856989
175	0.4922653659
176	0.4920364048
177	0.4917711514
178	0.4915921102
179	0.4913885386
180	0.4911365818
181	0.4910429559
182	0.4908149572
183	0.4905085635
184	0.4903055543
185	0.4901205656
186	0.4899002481
187	0.4896056275
188	0.4893755023
189	0.4891500035
190	0.4889088638
191	0.4886806642
192	0.4884986742
193	0.4881783355
194	0.4879728374
195	0.4878179098
196	0.4876542254
197	0.487569521
198	0.4873984974
199	0.4871690301
200	0.4869356065
201	0.486793536
202	0.4866255939
203	0.4864498945
204	0.4862735389
205	0.4860100882
206	0.4858396331
207	0.4858153654
208	0.4857775501
209	0.4856434633
210	0.4854350786
211	0.4851778763
212	0.4850879945
213	0.4848969272
214	0.4847245459
215	0.4845549843
216	0.4843883946
217	0.4842434673
218	0.4840681813
219	0.4838941213
220	0.4837150836
221	0.4835496659
222	0.4833615002
223	0.4832084318
224	0.4829898558
225	0.4827920567
226	0.4826218656
227	0.4824473261
228	0.4822814956
229	0.4821088461
230	0.4819156467
231	0.4818132036
232	0.4816492533
233	0.4815409266
234	0.4813643905
235	0.4812194224
236	0.4810999027
237	0.4809552283
238	0.4807768941
239	0.4805771947
240	0.4804634048
241	0.4803906384
242	0.4802295488
243	0.4800829745
244	0.4799268451
245	0.4798239231
246	0.4797025566
247	0.4795262193
248	0.479341007
249	0.4792244515
250	0.4790200815
251	0.4788608778
252	0.478727915
253	0.4786199167
