iter	Passed	Remaining
0	9	4846
1	22	5786
2	36	6338
3	54	7083
4	65	6803
5	78	6823
6	94	6983
7	106	6897
8	117	6732
9	127	6592
10	146	6866
11	162	6955
12	179	7074
13	201	7378
14	240	8206
15	255	8129
16	268	8028
17	296	8366
18	307	8216
19	325	8232
20	351	8452
21	387	8872
22	396	8666
23	413	8644
24	542	10870
25	561	10791
26	634	11722
27	654	11647
28	670	11484
29	682	11275
30	698	11151
31	712	10996
32	733	10954
33	745	10784
34	756	10616
35	767	10450
36	782	10340
37	792	10171
38	799	9982
39	808	9818
40	814	9639
41	825	9511
42	837	9408
43	851	9330
44	861	9208
45	877	9156
46	888	9057
47	899	8960
48	908	8844
49	922	8777
50	932	8683
51	940	8577
52	951	8490
53	964	8430
54	975	8350
55	982	8248
56	994	8182
57	1002	8090
58	1011	8003
59	1020	7925
60	1028	7842
61	1042	7801
62	1055	7759
63	1064	7685
64	1074	7621
65	1082	7545
66	1091	7479
67	1102	7423
68	1111	7364
69	1127	7342
70	1139	7305
71	1148	7240
72	1181	7328
73	1194	7295
74	1207	7259
75	1219	7219
76	1234	7196
77	1256	7214
78	1274	7210
79	1288	7184
80	1301	7152
81	1322	7160
82	1338	7145
83	1355	7135
84	1371	7113
85	1392	7122
86	1410	7115
87	1422	7081
88	1435	7047
89	1454	7046
90	1478	7069
91	1495	7055
92	1507	7016
93	1526	7016
94	1550	7032
95	1569	7028
96	1582	6997
97	1589	6943
98	1622	6995
99	1637	6974
100	1654	6960
101	1666	6929
102	1680	6903
103	1691	6862
104	1706	6840
105	1719	6814
106	1734	6790
107	1744	6752
108	1759	6731
109	1777	6721
110	1788	6687
111	1801	6657
112	1813	6626
113	1827	6604
114	1843	6587
115	1855	6557
116	1877	6564
117	1895	6553
118	1920	6567
119	1937	6555
120	1948	6521
121	1968	6520
122	1984	6503
123	1995	6468
124	2010	6450
125	2033	6456
126	2048	6436
127	2060	6405
128	2093	6442
129	2109	6424
130	2120	6394
131	2126	6348
132	2139	6321
133	2145	6276
134	2157	6248
135	2174	6234
136	2187	6211
137	2200	6188
138	2208	6149
139	2219	6118
140	2230	6089
141	2241	6060
142	2255	6040
143	2267	6013
144	2276	5981
145	2287	5953
146	2301	5932
147	2313	5909
148	2321	5875
149	2332	5847
150	2344	5821
151	2360	5806
152	2373	5785
153	2384	5760
154	2395	5733
155	2402	5698
156	2415	5676
157	2427	5654
158	2436	5622
159	2446	5595
160	2453	5561
161	2464	5536
162	2474	5509
163	2483	5481
164	2498	5466
165	2512	5447
166	2522	5421
167	2530	5392
168	2543	5372
169	2558	5357
170	2578	5352
171	2592	5335
172	2606	5318
173	2630	5321
174	2642	5300
175	2652	5274
176	2661	5247
177	2677	5234
178	2691	5217
179	2706	5202
180	2716	5177
181	2746	5191
182	2756	5166
183	2763	5135
184	2772	5111
185	2779	5079
186	2790	5058
187	2797	5028
188	2806	5004
189	2826	4999
190	2842	4985
191	2855	4967
192	2865	4944
193	2875	4920
194	2894	4913
195	2911	4902
196	2923	4881
197	2938	4867
198	2954	4855
199	2966	4834
200	2973	4807
201	2985	4788
202	2997	4769
203	3005	4743
204	3021	4731
205	3035	4714
206	3044	4691
207	3053	4668
208	3070	4657
209	3084	4641
210	3099	4627
211	3110	4606
212	3122	4588
213	3135	4571
214	3145	4550
215	3152	4523
216	3161	4501
217	3168	4475
218	3179	4456
219	3187	4433
220	3197	4412
221	3212	4399
222	3225	4382
223	3233	4360
224	3245	4341
225	3257	4324
226	3268	4304
227	3279	4286
228	3289	4266
229	3296	4242
230	3307	4223
231	3313	4199
232	3325	4181
233	3337	4165
234	3347	4145
235	3374	4147
236	3385	4128
237	3424	4143
238	3431	4120
239	3442	4101
240	3451	4081
241	3473	4076
242	3486	4059
243	3495	4040
244	3506	4021
245	3519	4006
246	3535	3993
247	3542	3971
248	3552	3951
249	3558	3928
250	3568	3909
251	3576	3888
252	3585	3869
253	3602	3857
254	3613	3840
255	3626	3824
256	3637	3807
257	3651	3792
258	3663	3776
259	3683	3768
260	3695	3751
261	3703	3731
262	3717	3717
263	3741	3713
264	3752	3695
265	3762	3677
266	3770	3657
267	3782	3641
268	3794	3624
269	3802	3605
270	3818	3593
271	3835	3581
272	3848	3566
273	3863	3553
274	3880	3541
275	3891	3524
276	3899	3505
277	3911	3489
278	3926	3476
279	3938	3460
280	3952	3446
281	3961	3427
282	3969	3408
283	3978	3389
284	3994	3377
285	4005	3361
286	4016	3344
287	4027	3328
288	4038	3311
289	4053	3298
290	4064	3282
291	4075	3265
292	4089	3251
293	4105	3239
294	4121	3227
295	4133	3211
296	4140	3192
297	4153	3177
298	4159	3158
299	4170	3142
300	4199	3139
301	4211	3123
302	4221	3106
303	4231	3090
304	4242	3074
305	4257	3061
306	4270	3046
307	4279	3028
308	4286	3010
309	4299	2995
310	4308	2978
311	4320	2963
312	4335	2950
313	4351	2937
314	4360	2920
315	4369	2903
316	4385	2891
317	4404	2881
318	4415	2865
319	4427	2850
320	4440	2835
321	4452	2821
322	4461	2804
323	4469	2786
324	4477	2769
325	4489	2754
326	4497	2736
327	4509	2721
328	4518	2705
329	4546	2700
330	4561	2687
331	4588	2681
332	4597	2664
333	4608	2648
334	4616	2632
335	4626	2616
336	4643	2604
337	4653	2588
338	4660	2570
339	4669	2554
340	4677	2537
341	4688	2522
342	4697	2506
343	4708	2491
344	4722	2477
345	4731	2461
346	4741	2445
347	4754	2432
348	4769	2418
349	4781	2404
350	4788	2387
351	4798	2371
352	4805	2355
353	4817	2340
354	4826	2325
355	4842	2312
356	4854	2298
357	4868	2284
358	4880	2270
359	4892	2255
360	4905	2241
361	4927	2232
362	4937	2217
363	4951	2203
364	4969	2192
365	4993	2182
366	5007	2169
367	5019	2154
368	5031	2140
369	5044	2127
370	5052	2110
371	5062	2095
372	5072	2080
373	5081	2065
374	5096	2052
375	5105	2036
376	5113	2021
377	5122	2005
378	5130	1989
379	5141	1975
380	5147	1959
381	5158	1944
382	5168	1929
383	5180	1915
384	5194	1902
385	5203	1887
386	5212	1872
387	5224	1858
388	5233	1843
389	5244	1829
390	5256	1814
391	5265	1799
392	5279	1786
393	5301	1776
394	5322	1765
395	5337	1752
396	5353	1739
397	5361	1724
398	5371	1709
399	5378	1694
400	5388	1679
401	5399	1665
402	5408	1650
403	5422	1637
404	5437	1624
405	5453	1611
406	5464	1597
407	5473	1583
408	5486	1569
409	5504	1557
410	5518	1543
411	5532	1530
412	5545	1517
413	5560	1504
414	5578	1492
415	5590	1478
416	5601	1464
417	5615	1450
418	5623	1436
419	5630	1421
420	5638	1406
421	5646	1391
422	5654	1376
423	5662	1362
424	5684	1350
425	5696	1337
426	5710	1323
427	5721	1309
428	5730	1295
429	5744	1282
430	5752	1267
431	5759	1253
432	5766	1238
433	5775	1224
434	5781	1209
435	5792	1195
436	5804	1182
437	5826	1170
438	5838	1157
439	5847	1142
440	5858	1129
441	5872	1115
442	5878	1101
443	5887	1087
444	5894	1072
445	5905	1059
446	5914	1045
447	5923	1031
448	5934	1017
449	5957	1006
450	5970	992
451	5978	978
452	5991	965
453	6006	952
454	6016	938
455	6023	924
456	6033	910
457	6040	896
458	6053	883
459	6067	870
460	6090	858
461	6105	845
462	6117	832
463	6133	819
464	6141	805
465	6153	792
466	6160	778
467	6169	764
468	6177	750
469	6186	737
470	6199	723
471	6213	710
472	6224	697
473	6233	683
474	6244	670
475	6256	657
476	6272	644
477	6286	631
478	6296	617
479	6307	604
480	6315	590
481	6327	577
482	6337	564
483	6348	550
484	6360	537
485	6367	524
486	6377	510
487	6389	497
488	6409	484
489	6417	471
490	6428	458
491	6441	445
492	6451	431
493	6474	419
494	6481	405
495	6490	392
496	6500	379
497	6512	366
498	6525	353
499	6541	340
500	6556	327
501	6562	313
502	6572	300
503	6585	287
504	6595	274
505	6610	261
506	6622	248
507	6634	235
508	6642	221
509	6682	209
510	6689	196
511	6700	183
512	6713	170
513	6722	156
514	6748	144
515	6759	130
516	6769	117
517	6783	104
518	6794	91
519	6802	78
520	6812	65
521	6818	52
522	6829	39
523	6837	26
524	6849	13
525	6866	0
